Overall,Overall.1,Overall.2,Overall.3,Overall.4,Overall.5,Conf.,Conf..1,Home,Home.1,Away,Away.1,Points,Points.1,School Advanced,School Advanced.1,School Advanced.2,School Advanced.3,School Advanced.4,School Advanced.5,School Advanced.6,School Advanced.7,School Advanced.8,School Advanced.9,School Advanced.10,School Advanced.11,School Advanced.12,Year
31,18,13,.581,4.12,-1.65,11,7,11,4,5,7,2155,1938,69.4,100.2,.308,.480,.536,51.0,55.7,9.6,9.0,.508,17.0,25.3,.213,2020.0
30,26,4,.867,20.13,9.13,15,3,14,1,8,2,2134,1804,66.6,106.4,.308,.369,.523,52.5,54.1,12.2,12.5,.494,14.9,35.7,.213,2020.0
Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,2020.0
G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,2020.0
33,26,7,.788,4.30,-6.23,15,3,13,1,11,5,2627,2241,72.8,109.4,.227,.438,.572,50.5,61.3,10.4,8.0,.553,14.6,24.9,.162,2020.0
30,16,14,.533,-10.16,-8.98,10,6,10,1,4,13,2239,2167,75.0,98.3,.381,.313,.515,50.5,46.3,9.5,7.5,.474,17.6,30.6,.267,2020.0
29,10,19,.345,-15.03,-4.62,4,12,7,7,3,12,2014,2221,69.4,99.6,.238,.479,.517,47.1,47.3,7.5,7.9,.489,15.5,25.6,.173,2020.0
32,20,12,.625,8.59,4.39,11,7,13,2,4,8,2430,2223,70.0,106.5,.362,.421,.560,51.5,50.2,8.0,4.1,.520,15.5,25.9,.271,2020.0
32,13,19,.406,1.82,7.86,7,13,8,10,4,8,2067,2260,69.6,92.4,.291,.405,.492,46.4,54.3,11.0,7.1,.465,17.3,25.4,.191,2020.0
34,21,13,.618,-1.87,-5.30,12,6,12,3,9,8,2410,2269,66.8,105.0,.270,.344,.534,52.1,46.8,8.1,6.1,.516,14.6,28.9,.174,2020.0
31,21,10,.677,0.47,0.20,12,6,13,2,5,5,2310,2259,71.6,103.2,.287,.364,.517,51.1,46.2,7.6,6.1,.479,13.3,28.7,.215,2020.0
34,23,11,.676,5.33,0.33,11,7,15,2,4,8,2438,2240,67.3,105.7,.319,.313,.536,53.5,52.4,7.1,12.5,.499,14.9,31.5,.235,2020.0
32,24,8,.750,16.93,6.45,13,3,14,1,6,5,2548,2188,69.7,112.8,.239,.414,.603,49.6,58.4,8.2,5.4,.588,14.3,20.5,.168,2020.0
27,15,12,.556,-4.45,-1.72,8,6,10,4,5,8,1809,1854,70.2,95.4,.325,.381,.497,52.1,48.6,9.4,11.9,.455,18.2,32.3,.237,2020.0
32,15,17,.469,-6.70,-6.67,7,11,9,5,6,12,2271,2223,70.7,100.0,.304,.433,.513,52.0,55.0,9.1,11.3,.485,17.2,31.6,.206,2020.0
34,14,20,.412,-7.73,-4.32,8,10,9,4,4,14,2299,2415,69.9,96.7,.284,.418,.521,47.9,50.0,10.2,9.4,.493,17.0,24.0,.195,2020.0
32,20,12,.625,1.80,0.06,11,7,10,7,7,4,2516,2425,74.7,104.5,.280,.378,.519,52.5,51.0,10.3,11.1,.494,15.3,35.0,.187,2020.0
31,22,9,.710,15.56,9.14,10,8,14,3,5,6,2125,1926,64.6,105.7,.294,.368,.553,53.3,50.9,8.2,7.8,.523,15.4,29.4,.214,2020.0
30,7,23,.233,-10.00,-0.42,4,12,7,6,0,15,2027,2248,68.8,95.5,.348,.340,.516,46.9,43.9,9.0,6.9,.481,17.2,23.0,.242,2020.0
31,12,19,.387,-7.11,-3.26,6,10,9,7,3,12,2109,2097,66.0,101.1,.312,.272,.509,54.7,46.2,9.3,10.2,.478,16.9,36.1,.214,2020.0
31,11,20,.355,-6.79,-1.38,6,10,6,8,4,11,2127,2213,69.5,96.8,.371,.338,.521,48.0,47.7,7.2,7.7,.488,16.6,22.8,.250,2020.0
32,15,17,.469,-6.37,-0.97,10,6,10,4,5,12,2435,2528,71.4,106.6,.313,.339,.551,47.3,51.2,7.9,8.7,.519,14.1,25.7,.228,2020.0
32,14,18,.438,3.20,9.05,7,11,12,5,1,10,2023,2210,65.7,95.1,.360,.284,.514,49.6,41.5,6.1,7.4,.469,17.2,24.8,.266,2020.0
31,21,10,.677,-1.99,-6.66,10,6,15,5,6,5,2465,2170,70.5,111.5,.345,.431,.567,54.8,53.9,5.8,8.5,.524,15.4,32.4,.271,2020.0
Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,2020.0
G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,2020.0
31,15,16,.484,-8.51,-8.10,6,12,8,5,6,10,2130,2065,67.2,101.9,.258,.415,.558,47.6,59.2,10.7,8.3,.532,17.3,22.2,.189,2020.0
32,12,20,.375,-7.60,-5.44,7,13,7,6,4,12,2196,2265,70.3,97.6,.302,.343,.516,48.9,56.1,10.1,7.1,.485,17.7,28.9,.210,2020.0
31,10,21,.323,-11.26,-2.70,9,11,8,4,2,16,2316,2553,75.9,96.1,.402,.404,.528,50.3,58.0,6.8,12.7,.485,20.0,28.4,.288,2020.0
31,4,27,.129,-20.33,-4.63,3,15,4,9,0,16,1959,2396,70.7,89.3,.291,.316,.486,44.8,44.4,9.1,9.4,.454,17.9,23.3,.197,2020.0
32,14,18,.438,-3.40,-0.26,7,11,12,4,2,14,2506,2454,75.0,104.0,.334,.375,.531,48.8,42.4,12.1,6.8,.491,14.7,27.9,.249,2020.0
32,14,18,.438,-13.14,-6.98,7,11,9,6,5,11,2203,2304,68.6,99.2,.262,.428,.528,46.3,53.5,8.6,7.0,.496,16.2,22.8,.195,2020.0
29,16,13,.552,0.46,-1.09,10,8,13,2,3,11,1922,1877,66.6,98.2,.380,.368,.550,49.9,52.3,11.3,10.5,.516,18.7,21.4,.267,2020.0
33,20,13,.606,0.39,-1.90,10,8,10,4,7,8,2410,2261,68.2,106.6,.289,.413,.556,51.7,52.5,7.0,4.1,.529,15.4,26.8,.206,2020.0
29,4,25,.138,-28.20,-2.85,0,14,3,11,1,12,1781,2372,70.3,87.4,.409,.351,.516,45.9,50.3,7.1,7.2,.468,22.9,22.6,.295,2020.0
30,20,10,.667,12.33,6.73,13,5,13,2,5,6,2182,2014,68.9,102.2,.396,.361,.536,52.5,57.3,9.2,12.5,.503,17.5,32.0,.268,2020.0
31,16,15,.516,10.26,7.88,9,11,11,6,3,8,2062,1988,66.6,98.7,.289,.464,.528,49.3,54.6,10.1,7.8,.501,16.5,23.3,.199,2020.0
32,11,21,.344,-11.16,-2.45,7,11,6,8,3,13,2053,2298,68.9,92.4,.388,.230,.489,49.2,51.4,11.1,7.5,.450,18.8,32.0,.258,2020.0
33,16,17,.485,-0.83,-0.31,8,12,9,9,7,7,2573,2518,74.0,105.4,.345,.354,.545,54.1,48.7,10.2,8.7,.510,18.3,35.9,.247,2020.0
34,25,9,.735,1.47,-5.63,14,4,15,2,9,7,2588,2315,68.8,110.3,.246,.460,.557,51.0,52.7,8.8,7.9,.531,13.7,28.0,.184,2020.0
31,17,14,.548,0.53,-0.84,11,7,10,5,6,6,2176,2109,66.9,105.0,.328,.398,.548,47.4,44.6,10.0,7.2,.509,14.4,22.9,.250,2020.0
32,21,11,.656,14.91,8.31,10,8,13,3,4,7,2268,2057,68.2,103.2,.362,.386,.544,53.9,54.3,8.3,7.9,.505,16.8,30.2,.266,2020.0
32,20,12,.625,6.70,3.96,11,7,12,4,5,6,2417,2307,69.7,106.8,.390,.393,.569,52.0,59.1,9.2,5.8,.541,16.4,26.5,.265,2020.0
30,6,24,.200,-10.19,-2.50,1,13,5,7,0,16,1988,2181,69.6,94.0,.224,.369,.494,47.1,44.1,7.8,8.4,.465,14.3,20.4,.164,2020.0
31,19,12,.613,11.15,5.34,10,8,14,3,3,7,2258,2078,69.0,102.3,.346,.358,.521,51.9,51.2,10.0,15.0,.478,16.8,34.1,.257,2020.0
31,11,20,.355,-14.36,-8.27,7,9,5,5,6,15,2109,2298,74.4,90.7,.327,.470,.487,47.4,42.8,9.0,8.1,.459,17.1,23.4,.208,2020.0
Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,2020.0
G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,2020.0
27,7,20,.259,-8.37,-1.85,4,10,6,6,1,14,1818,1912,66.2,100.3,.269,.393,.531,47.8,56.8,10.0,8.5,.504,15.4,24.8,.188,2020.0
31,24,7,.774,17.24,9.61,13,5,17,1,6,5,2428,2162,70.0,111.5,.290,.426,.580,48.5,56.5,9.3,6.6,.553,13.9,23.6,.214,2020.0
29,12,17,.414,-4.17,-3.20,5,9,6,6,5,10,1894,1872,66.6,97.2,.274,.398,.530,51.3,52.0,6.9,8.0,.506,16.5,20.7,.185,2020.0
30,16,14,.533,8.85,3.62,10,8,11,1,4,9,2182,2025,65.4,108.5,.315,.445,.569,50.4,55.9,8.2,7.7,.534,14.7,24.7,.240,2020.0
31,29,2,.935,19.17,3.69,18,0,17,0,9,0,2480,2000,67.9,116.4,.339,.390,.619,52.5,60.3,8.3,9.2,.597,15.8,26.4,.244,2020.0
33,22,11,.667,-1.53,-3.84,11,7,10,3,7,6,2452,2332,68.6,107.9,.316,.385,.582,50.4,48.9,7.9,9.3,.549,16.7,24.5,.239,2020.0
32,6,26,.188,-20.87,-9.54,4,12,3,11,2,13,2350,2655,76.3,95.6,.330,.395,.507,47.3,40.5,8.9,6.2,.473,17.4,26.4,.226,2020.0
31,7,24,.226,-10.06,-1.99,3,13,6,8,0,14,2135,2360,71.6,95.4,.362,.291,.525,48.3,45.1,8.1,7.0,.491,17.4,20.8,.250,2020.0
32,16,16,.500,7.63,8.95,3,15,11,7,4,9,2262,2274,71.7,97.8,.333,.304,.512,50.3,52.2,11.1,14.8,.484,17.5,30.9,.219,2020.0
31,8,23,.258,-9.87,-1.90,6,12,5,8,2,14,2175,2422,70.6,99.0,.321,.441,.510,49.5,44.5,8.1,8.2,.462,16.5,30.8,.251,2020.0
34,20,14,.588,0.43,0.61,8,10,14,2,2,10,2359,2302,68.0,101.6,.305,.381,.553,51.4,59.4,8.1,11.6,.524,17.0,23.5,.218,2020.0
33,14,19,.424,-5.38,-2.20,6,12,10,5,1,13,2254,2323,67.9,100.3,.285,.371,.534,51.8,57.9,8.3,7.0,.506,18.6,30.4,.199,2020.0
31,25,6,.806,22.55,8.00,15,5,15,2,7,4,2558,2107,72.9,111.4,.356,.315,.559,53.8,52.1,11.2,13.6,.526,15.2,34.8,.256,2020.0
30,21,9,.700,6.77,1.67,11,7,10,4,6,3,2146,1993,67.8,104.2,.328,.431,.542,49.8,56.5,10.1,14.8,.512,16.0,29.2,.231,2020.0
31,11,20,.355,-2.27,1.82,5,13,9,7,1,11,2111,2238,70.7,95.6,.368,.328,.511,50.3,57.2,9.1,9.2,.467,17.1,27.3,.265,2020.0
34,30,4,.882,7.63,-1.82,16,2,16,1,11,3,2593,2146,68.2,111.9,.368,.388,.570,53.4,51.3,12.0,10.9,.542,15.3,32.7,.256,2020.0
32,17,15,.531,-5.08,-7.41,9,9,10,2,5,11,2377,2214,70.9,104.0,.298,.324,.536,50.4,50.4,10.7,11.5,.513,15.3,29.2,.197,2020.0
33,16,17,.485,-9.17,-4.46,12,6,10,4,5,10,2464,2488,76.2,98.0,.319,.401,.513,45.2,46.3,12.2,5.5,.476,16.1,25.7,.231,2020.0
32,16,16,.500,-3.12,0.95,6,12,11,4,3,12,2078,2050,68.1,95.4,.419,.378,.509,48.6,42.9,14.4,11.6,.479,18.3,27.8,.263,2020.0
31,23,8,.742,2.01,-1.81,16,4,13,2,10,6,2509,2259,74.3,108.0,.287,.416,.556,50.9,59.6,9.5,8.7,.532,15.0,28.3,.199,2020.0
Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,2020.0
G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,2020.0
34,13,21,.382,-7.81,-2.03,7,11,8,8,3,12,2337,2438,67.3,101.8,.268,.493,.536,48.2,56.3,7.0,6.0,.506,15.3,23.5,.197,2020.0
32,9,23,.281,-7.04,0.61,0,18,5,10,3,10,2149,2368,67.9,96.7,.322,.424,.527,46.6,52.5,6.8,5.7,.490,16.6,20.3,.235,2020.0
32,12,20,.375,-9.65,-4.81,8,12,5,8,6,9,1857,2012,63.6,89.8,.359,.291,.475,51.6,42.4,7.9,8.2,.431,18.4,30.2,.250,2020.0
30,11,19,.367,-9.94,-5.87,9,9,7,5,4,14,2167,2236,69.3,103.4,.295,.357,.546,48.3,45.2,9.1,9.4,.516,16.4,26.8,.213,2020.0
31,19,12,.613,14.94,9.10,11,7,11,4,4,7,2228,2047,66.3,107.5,.340,.368,.555,52.4,46.5,8.6,11.1,.521,15.5,31.1,.246,2020.0
27,12,15,.444,-12.17,-6.24,10,6,8,0,4,13,1824,1984,70.8,93.3,.387,.238,.487,48.6,41.0,10.3,5.2,.454,18.1,31.2,.246,2020.0
32,17,15,.531,-1.66,-1.25,8,10,14,3,2,12,2275,2222,70.2,100.1,.269,.422,.523,51.0,47.6,10.3,5.8,.495,16.4,28.9,.189,2020.0
32,10,22,.313,-10.26,-4.30,7,9,6,10,4,12,1979,2122,66.8,91.5,.231,.416,.500,49.2,55.8,9.0,12.4,.476,20.0,28.0,.159,2020.0
32,19,13,.594,0.90,-1.00,9,9,11,3,6,9,2455,2319,73.9,103.4,.292,.416,.548,47.8,52.2,11.8,16.2,.529,17.7,29.5,.190,2020.0
31,26,5,.839,17.28,7.64,16,4,16,0,7,5,2336,2037,69.7,107.3,.301,.354,.553,51.9,48.5,12.5,15.9,.519,16.3,33.4,.226,2020.0
31,9,22,.290,-3.58,-0.45,2,16,6,12,1,8,1816,1913,65.2,88.8,.270,.417,.478,47.0,54.3,10.7,9.2,.450,16.9,21.3,.179,2020.0
30,11,19,.367,2.08,3.39,7,11,7,7,4,10,2075,2068,65.3,103.7,.305,.490,.532,52.0,52.2,7.3,11.1,.502,16.4,30.5,.214,2020.0
32,25,7,.781,6.79,-1.55,15,3,14,1,10,5,2457,2123,69.3,110.0,.302,.463,.579,47.8,53.9,11.8,8.5,.556,14.7,23.6,.212,2020.0
32,16,16,.500,-5.56,-5.83,11,7,7,5,6,10,2318,2272,67.7,104.1,.354,.390,.549,49.7,54.1,9.0,13.7,.518,15.9,27.1,.245,2020.0
32,17,15,.531,0.86,1.48,5,13,10,7,3,8,2148,2168,67.4,99.2,.344,.345,.511,52.5,45.6,9.0,13.3,.476,17.2,33.1,.238,2020.0
32,12,20,.375,-3.99,0.92,6,12,7,9,3,9,2086,2243,66.6,96.4,.328,.425,.523,48.3,52.2,7.9,10.1,.490,17.4,23.0,.229,2020.0
32,15,17,.469,10.38,9.60,5,13,10,8,4,7,2389,2364,71.6,104.3,.339,.310,.535,52.1,57.0,8.7,11.5,.491,16.3,32.4,.262,2020.0
32,16,16,.500,8.28,8.06,5,13,12,5,3,9,2428,2418,72.0,103.7,.334,.383,.540,51.4,49.3,9.7,8.0,.508,17.3,32.3,.234,2020.0
33,20,13,.606,1.69,-0.83,12,8,11,4,8,8,2494,2332,73.3,103.1,.364,.400,.537,48.5,46.6,10.7,10.2,.507,15.6,26.6,.246,2020.0
32,19,13,.594,3.09,0.13,12,8,12,3,6,10,2499,2311,74.0,104.7,.312,.383,.543,49.7,53.1,10.5,11.2,.508,16.4,31.6,.231,2020.0
Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,2020.0
G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,2020.0
31,17,14,.548,10.49,9.19,11,9,10,6,6,7,2126,2059,70.7,96.3,.345,.299,.529,51.7,54.4,10.0,11.7,.499,20.0,29.4,.233,2020.0
33,31,2,.939,22.70,3.13,15,1,17,0,10,1,2885,2239,72.5,120.1,.388,.313,.599,56.6,52.5,10.1,9.5,.575,13.2,33.7,.267,2020.0
32,17,15,.531,-12.39,-9.79,11,7,11,2,6,12,2280,2188,71.8,99.2,.368,.275,.528,51.9,49.5,10.4,11.4,.495,17.4,30.5,.251,2020.0
30,13,17,.433,-6.32,-4.05,8,8,8,8,4,6,2116,2191,67.8,103.2,.372,.330,.548,48.2,48.0,7.0,3.7,.506,15.1,23.0,.278,2020.0
33,17,16,.515,-4.80,-2.80,11,7,10,5,7,10,2694,2643,75.3,107.3,.317,.324,.555,48.5,55.2,9.1,8.1,.519,14.5,26.8,.240,2020.0
34,15,19,.441,-12.02,-5.80,8,10,11,5,3,13,2635,2693,71.9,107.0,.405,.317,.546,49.5,53.8,6.9,10.0,.509,14.1,28.2,.283,2020.0
33,18,15,.545,-6.79,-6.02,9,7,9,8,9,7,2201,2203,69.2,96.0,.309,.401,.519,47.0,55.4,10.5,6.5,.486,17.3,22.9,.217,2020.0
29,21,8,.724,3.06,-1.55,10,4,11,1,9,4,2114,1928,68.9,104.0,.322,.378,.546,53.4,45.0,9.2,14.1,.516,17.2,30.4,.226,2020.0
30,17,13,.567,-1.27,-2.10,8,8,14,6,3,7,2057,2016,68.9,99.1,.315,.380,.522,50.1,55.1,7.9,5.1,.489,16.6,27.8,.222,2020.0
32,9,23,.281,-16.31,-5.34,6,12,6,9,3,14,2110,2396,67.7,96.7,.400,.354,.506,51.3,55.0,7.5,11.9,.463,18.0,32.2,.280,2020.0
34,26,8,.765,3.06,-3.85,14,4,10,4,11,4,2596,2326,68.9,110.9,.336,.378,.562,50.8,46.8,10.0,5.7,.520,14.2,30.3,.263,2020.0
32,3,29,.094,-18.07,-4.26,2,16,2,12,0,16,2106,2537,68.9,94.5,.252,.377,.514,47.6,47.0,7.0,7.0,.491,18.3,25.1,.169,2020.0
31,23,8,.742,16.46,6.30,13,5,14,2,6,6,2241,1926,66.8,107.8,.329,.343,.519,56.5,50.8,7.7,15.1,.480,14.6,38.7,.240,2020.0
29,4,25,.138,-17.41,-3.62,4,16,2,9,2,15,2323,2723,78.0,102.3,.380,.330,.547,49.4,46.4,7.2,5.1,.503,18.6,32.2,.284,2020.0
33,4,29,.121,-21.88,-7.98,1,15,2,13,1,14,2306,2682,71.9,96.0,.331,.374,.518,45.0,54.8,7.5,9.2,.485,17.9,26.4,.230,2020.0
32,8,24,.250,-12.07,-2.10,4,16,5,10,2,12,2086,2329,69.3,93.8,.301,.260,.513,49.7,49.0,8.0,6.1,.484,18.1,24.4,.203,2020.0
30,8,22,.267,-8.62,-1.62,4,16,4,9,3,13,2093,2198,67.7,101.8,.349,.331,.539,50.6,46.1,6.7,5.7,.514,17.3,29.3,.229,2020.0
31,21,10,.677,15.27,9.84,13,7,15,3,6,6,2239,2024,67.5,106.6,.332,.309,.528,55.3,50.7,7.2,7.3,.491,15.0,35.8,.241,2020.0
31,10,21,.323,-2.70,1.97,5,13,9,6,1,11,2050,2171,68.4,96.3,.252,.416,.525,48.9,50.4,8.4,7.3,.498,18.6,25.6,.179,2020.0
35,18,17,.514,-3.74,-3.80,10,8,11,7,5,9,2412,2407,70.5,97.4,.294,.377,.533,51.3,56.1,8.1,12.0,.507,19.5,27.9,.202,2020.0
Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,2020.0
G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,2020.0
31,9,22,.290,-18.57,-6.85,6,14,7,9,2,13,2050,2292,69.2,94.0,.321,.358,.511,47.1,52.6,10.3,6.9,.471,19.1,27.6,.236,2020.0
32,20,12,.625,15.07,10.35,9,11,15,4,2,8,2286,2135,68.7,103.6,.392,.296,.528,54.0,51.0,8.1,12.6,.493,15.7,32.4,.266,2020.0
30,18,12,.600,3.22,1.81,11,7,12,1,4,8,2052,2004,66.2,102.9,.329,.343,.549,49.2,51.6,8.3,10.0,.517,15.5,23.5,.236,2020.0
29,12,17,.414,-6.23,-5.37,9,11,5,6,4,9,2030,2055,68.6,100.7,.337,.424,.552,48.5,54.8,9.9,10.4,.510,18.3,25.1,.260,2020.0
31,20,11,.645,16.07,10.62,11,9,14,2,4,7,2410,2241,70.6,110.2,.344,.376,.554,51.5,63.9,8.7,10.6,.516,14.7,32.0,.258,2020.0
32,12,20,.375,9.10,10.07,5,13,11,6,0,11,2304,2335,70.4,101.8,.285,.377,.533,48.9,53.0,10.5,11.3,.498,16.4,29.2,.213,2020.0
32,7,25,.219,-14.89,-3.39,3,15,4,9,3,14,2256,2564,71.9,97.3,.316,.387,.504,47.7,53.7,8.9,6.4,.478,16.6,29.3,.204,2020.0
32,15,17,.469,-10.91,-8.61,11,7,9,3,6,14,2153,2157,71.1,94.6,.350,.292,.498,47.9,46.0,11.4,10.2,.463,15.9,26.2,.235,2020.0
32,14,18,.438,-6.50,-5.63,7,9,6,7,7,9,2139,2133,67.6,97.7,.311,.355,.514,52.5,45.8,7.4,7.9,.486,17.5,29.2,.208,2020.0
32,13,19,.406,-8.29,-6.36,8,10,8,6,4,11,2294,2218,70.0,102.1,.291,.359,.532,52.8,52.0,9.0,7.3,.506,17.3,31.4,.201,2020.0
30,9,21,.300,-9.23,-2.78,2,16,6,9,3,11,2157,2296,72.1,99.7,.365,.403,.514,49.7,49.1,8.6,8.1,.484,15.1,26.2,.238,2020.0
31,28,3,.903,24.96,11.63,17,1,14,1,11,1,2312,1882,67.9,109.4,.350,.329,.564,54.7,50.8,11.2,13.6,.541,16.2,32.8,.234,2020.0
30,16,14,.533,-6.07,-3.62,8,7,9,4,5,8,2094,1976,66.7,102.6,.293,.354,.546,48.2,51.4,11.9,9.4,.521,16.9,26.0,.201,2020.0
32,11,21,.344,8.70,9.48,3,15,9,7,1,10,2054,2079,67.2,95.1,.347,.391,.506,48.9,55.1,12.8,7.9,.475,18.4,29.6,.229,2020.0
29,1,28,.034,-22.60,-2.63,0,16,1,10,0,16,1602,2181,68.1,81.1,.325,.309,.439,45.9,42.0,7.4,5.5,.393,19.0,25.8,.228,2020.0
32,20,12,.625,3.68,-0.72,9,9,14,3,5,7,2442,2241,70.1,107.2,.283,.405,.551,50.7,50.2,9.6,11.2,.523,15.5,30.7,.206,2020.0
31,25,6,.806,15.78,7.46,15,3,16,2,8,2,2307,2049,68.5,107.8,.408,.266,.561,53.0,52.2,7.6,13.6,.507,15.8,30.8,.325,2020.0
30,15,15,.500,-0.23,1.71,6,12,8,7,4,8,2040,2098,69.8,96.2,.331,.416,.513,49.6,55.0,11.4,8.9,.484,18.1,28.6,.220,2020.0
31,19,12,.613,-5.91,-5.94,10,8,9,5,10,7,2174,2133,67.7,103.6,.239,.439,.553,49.7,59.3,7.0,11.3,.527,16.0,23.4,.177,2020.0
32,17,15,.531,-7.24,-6.45,10,10,10,5,6,10,2312,2227,71.7,99.9,.344,.301,.522,49.1,51.4,12.3,12.3,.486,17.4,30.8,.242,2020.0
Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,2020.0
G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,2020.0
32,11,21,.344,-10.93,-3.90,7,11,8,6,3,15,2184,2339,69.5,97.5,.260,.291,.527,50.7,48.9,7.8,7.1,.496,17.6,26.3,.191,2020.0
34,30,4,.882,5.15,-7.26,13,3,17,0,7,4,2332,1830,61.3,111.8,.312,.405,.579,53.2,53.0,9.2,9.2,.553,13.6,24.8,.222,2020.0
32,16,16,.500,-7.08,-4.45,9,7,9,5,7,11,2255,2261,68.8,102.0,.288,.346,.536,50.4,50.7,7.8,7.4,.510,16.3,27.1,.200,2020.0
31,21,10,.677,2.27,-1.07,15,5,13,2,8,8,2270,2152,70.2,104.4,.450,.328,.566,52.2,59.5,9.8,10.4,.527,19.3,30.7,.319,2020.0
32,11,21,.344,-8.72,1.08,6,10,8,6,2,13,2157,2404,71.8,93.1,.340,.298,.519,48.0,45.9,8.2,11.4,.484,19.9,25.4,.238,2020.0
33,15,18,.455,-8.38,-6.16,9,9,8,6,6,11,2504,2534,73.9,101.2,.326,.461,.551,46.2,54.3,9.0,8.2,.520,16.9,21.5,.233,2020.0
32,14,18,.438,-12.45,-9.31,9,9,8,6,6,11,2148,2195,68.5,96.5,.332,.481,.521,48.7,48.5,9.7,6.7,.487,17.5,23.6,.233,2020.0
33,14,19,.424,-4.60,-0.67,8,12,10,6,3,12,2416,2514,72.8,100.1,.346,.409,.526,49.3,45.8,8.2,8.2,.484,16.8,29.0,.257,2020.0
31,21,10,.677,14.43,7.20,12,6,15,2,5,6,2495,2271,70.8,112.8,.354,.343,.568,54.3,44.9,8.8,10.6,.527,15.1,35.1,.272,2020.0
30,22,8,.733,7.06,-1.48,13,5,15,1,7,7,2235,1910,68.2,108.3,.290,.399,.557,51.9,48.8,10.8,7.4,.537,15.7,30.3,.194,2020.0
29,9,20,.310,-6.50,-0.16,5,15,7,8,2,12,1831,1956,66.2,94.9,.325,.346,.510,49.2,51.5,6.7,9.4,.478,18.0,27.0,.222,2020.0
31,24,7,.774,17.94,7.55,15,5,17,1,6,5,2296,1974,67.1,109.4,.322,.380,.557,54.5,53.5,7.5,7.9,.525,15.4,32.0,.236,2020.0
32,21,11,.656,5.70,0.54,13,5,14,2,5,6,2198,2007,65.7,103.4,.387,.312,.574,49.7,56.9,11.9,5.4,.554,17.7,21.4,.252,2020.0
32,15,17,.469,-9.59,-7.23,7,11,9,4,5,13,2348,2394,71.3,102.2,.419,.372,.549,49.2,59.6,9.4,8.0,.525,17.0,25.9,.267,2020.0
32,11,21,.344,-1.09,3.88,4,12,7,9,2,9,2057,2168,64.7,98.9,.347,.347,.546,50.6,49.5,9.0,7.4,.518,19.3,27.5,.236,2020.0
